海淀区西土城路学知桥南北向南主辅路,116.3471076186427,39.97485239862668,北京市海淀区西土城路学知桥南北向南主辅路,轻度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,1
海淀区建材城西路西三旗桥东50米,116.32459704383533,40.05505584429431,北京市海淀区建材城西路西三旗桥东50米,轻度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,1
海淀区北三环辅路北太桥下,116.36440114059475,39.96657429739104,北京市海淀区北三环辅路北太平桥下,轻度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,1
海淀区G6辅路上清桥下北向南,116.3472872785836,40.021759064715425,北京市海淀区G6辅路上清桥下北向南,轻度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,1
海淀区西三环北路紫竹桥,116.3042939742052,39.94163828281389,北京市海淀区西三环北路紫竹桥,重度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,3
海淀区杏石口路南平庄铁路桥,116.23535094887785,39.949428361705856,北京市海淀区杏石口路南平庄铁路桥,重度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,3
海淀区巨山路锦绣大地铁路桥,116.22105716627955,39.93062706933088,北京市海淀区巨山路锦绣大地铁路桥,中度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,2
海淀区杏石口路南辛庄路口,116.20737902567393,39.955044950054436,北京市海淀区杏石口路南辛庄路口,重度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,3
海淀区杏石口路黑塔村路口,116.23103894131104,39.953303562467816,北京市海淀区杏石口路黑塔村路口,中度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,2
海淀区砂石厂路铁道桥下,116.23256606742616,39.93101110733209,北京市海淀区砂石厂路铁道桥下,重度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,3
海淀区田村山东路铁道桥下,116.24212288056829,39.93121826928653,北京市海淀区田村东路铁道桥下,重度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,3
丰台区三环路外环丽泽桥至丰益桥辅路,116.30742446430813,39.86036728416939,北京市丰台区三环路外环丽泽桥至丰益桥辅路,轻度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,丰台区,1
丰台区程庄路程庄路南口,116.26174509788122,39.846013053712724,北京市丰台区程庄路程庄路南口,重度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,丰台区,3
丰台区丰台西路洪泰庄路口,116.2451448782771,39.8497801075293,北京市丰台区丰台西路洪泰庄路口,重度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,丰台区,3
丰台区莲花池东路西站隧道,116.31571455935224,39.895843930845594,北京市丰台区莲花池东路西站隧道,轻度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,海淀区,1
丰台区会城门桥南铁路桥下,116.32303193777345,39.894755933932885,北京市丰台区会城门桥南铁路桥下,重度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,西城区,3
丰台区群星路东口群星路东口,116.43226707758063,39.86111087341531,北京市丰台区群星路东口,轻度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,丰台区,1
丰台区沙子口斜街沿线多处段,116.40032807951066,39.85877566027276,北京市丰台区沙子口斜街沿线多处段,中度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,东城区,2
丰台区园博园南路园博桥,116.20877105221182,39.864090645360726,北京市丰台区园博园南路园博桥,中度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,丰台区,2
丰台区京周路赵辛店桥下,116.19867249604366,39.81109146622219,北京市丰台区京周路赵辛店桥下,轻度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,丰台区,1
丰台区周口店路十中门前,116.20254950614978,39.81531666392624,北京市丰台区周口店路十中门前,中度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,丰台区,2
丰台区长青路南岗洼村,116.18270875174768,39.78825431901215,北京市丰台区长青路南岗洼村,中度积水,2016-06-12 23:48:13,2016-06-12 23:48:13,丰台区,2
